SpatialDim,TimeDim,Obesity,Undernourishment
LKA,2012,7.9,18.4
LKA,2012,7.9,16.4
LKA,2012,7.9,20.6
KEN,2000,2.2,14.8
KEN,2000,2.2,18.5
KEN,2000,2.2,11.2
IND,1996,1.9,37.4
IND,1996,1.9,35.8
IND,1996,1.9,36.6
USA,1999,26.6,1.7
USA,1999,26.6,1.0
USA,1999,26.6,2.4
USA,2010,35.8,2.2
USA,2010,35.8,1.0
USA,2010,35.8,1.6
GBR,2002,20.5,1.8
GBR,2002,20.5,1.0
GBR,2002,20.5,1.4
USA,2004,32.4,2.3
USA,2004,32.4,1.0
USA,2004,32.4,1.6
IND,2009,2.3,24.9
IND,2009,2.3,26.5
IND,2009,2.3,25.7
IND,2005,1.7,28.6
IND,2005,1.7,30.1
IND,2005,1.7,29.3
LKA,2012,3.4,18.4
LKA,2012,3.4,16.4
LKA,2012,3.4,20.6
LKA,1994,2.2,29.8
LKA,1994,2.2,32.9
LKA,1994,2.2,31.4
LKA,2011,7.4,21.3
LKA,2011,7.4,17.0
LKA,2011,7.4,19.1
LKA,2022,14.2,12.9
LKA,2022,14.2,15.0
LKA,2022,14.2,11.1
KEN,2010,3.6,9.8
KEN,2010,3.6,16.1
KEN,2010,3.6,12.9
IND,2008,2.1,25.9
IND,2008,2.1,26.6
IND,2008,2.1,27.4
IND,1998,1.5,35.9
IND,1998,1.5,35.1
IND,1998,1.5,34.3
GBR,2007,22.5,1.0
GBR,2007,22.5,1.8
GBR,2007,22.5,1.4
GBR,2001,19.8,1.4
GBR,2001,19.8,1.0
GBR,2001,19.8,1.9
GBR,1999,17.1,2.0
GBR,1999,17.1,1.5
GBR,1999,17.1,1.0
LKA,1994,1.5,29.8
LKA,1994,1.5,32.9
LKA,1994,1.5,31.4
USA,1995,20.7,1.0
USA,1995,20.7,1.9
USA,1995,20.7,2.6
GBR,1996,16.1,1.7
GBR,1996,16.1,2.2
GBR,1996,16.1,1.1
IND,2010,3.7,24.7
IND,2010,3.7,24.0
IND,2010,3.7,25.5
GBR,2016,24.7,1.3
GBR,2016,24.7,1.5
GBR,2016,24.7,1.7
IND,2010,2.5,24.7
IND,2010,2.5,24.0
IND,2010,2.5,25.5
USA,2008,33.7,2.2
USA,2008,33.7,1.0
USA,2008,33.7,1.6
LKA,2021,10.0,11.5
LKA,2021,10.0,15.4
LKA,2021,10.0,13.4
IND,1995,1.2,37.3
IND,1995,1.2,36.6
IND,1995,1.2,38.1
USA,1999,24.8,1.7
USA,1999,24.8,1.0
USA,1999,24.8,2.4
KEN,2005,8.4,13.9
KEN,2005,8.4,17.3
KEN,2005,8.4,10.6
KEN,1993,3.8,20.1
KEN,1993,3.8,11.6
KEN,1993,3.8,15.8
KEN,2021,11.9,8.3
KEN,2021,11.9,11.8
KEN,2021,11.9,15.5
LKA,2016,4.4,14.0
LKA,2016,4.4,15.9
LKA,2016,4.4,18.1
IND,2007,4.1,26.8
IND,2007,4.1,27.6
IND,2007,4.1,28.3
KEN,2018,10.5,15.3
KEN,2018,10.5,8.7
KEN,2018,10.5,11.9
LKA,2013,8.4,15.8
LKA,2013,8.4,20.0
LKA,2013,8.4,17.8
GBR,2006,22.8,1.4
GBR,2006,22.8,1.0
GBR,2006,22.8,1.8
KEN,2009,7.1,16.3
KEN,2009,7.1,10.0
KEN,2009,7.1,13.1
GBR,2001,18.7,1.4
GBR,2001,18.7,1.0
GBR,2001,18.7,1.9
IND,1992,0.5,39.1
IND,1992,0.5,39.7
IND,1992,0.5,40.3
USA,1991,19.4,2.2
USA,1991,19.4,3.1
USA,1991,19.4,1.1
LKA,1999,1.2,26.1
LKA,1999,1.2,29.9
LKA,1999,1.2,28.0
GBR,2005,23.0,1.0
GBR,2005,23.0,1.8
GBR,2005,23.0,1.4
KEN,2018,5.0,15.3
KEN,2018,5.0,8.7
KEN,2018,5.0,11.9
GBR,1992,14.7,2.0
GBR,1992,14.7,2.7
GBR,1992,14.7,1.2
KEN,2017,4.7,8.8
KEN,2017,4.7,15.3
KEN,2017,4.7,12.0
GBR,2008,23.6,1.0
GBR,2008,23.6,1.8
GBR,2008,23.6,1.4
KEN,1990,3.2,20.7
KEN,1990,3.2,16.1
KEN,1990,3.2,11.8
GBR,2001,20.7,1.4
GBR,2001,20.7,1.0
GBR,2001,20.7,1.9
USA,2001,30.0,2.3
USA,2001,30.0,1.7
USA,2001,30.0,1.0
GBR,2011,25.3,1.1
GBR,2011,25.3,1.7
GBR,2011,25.3,1.4
GBR,2000,17.9,1.9
GBR,2000,17.9,1.5
GBR,2000,17.9,1.0
LKA,2013,6.1,15.8
LKA,2013,6.1,20.0
LKA,2013,6.1,17.8
LKA,2018,8.4,13.0
LKA,2018,8.4,17.0
LKA,2018,8.4,14.9
IND,2001,2.7,32.7
IND,2001,2.7,31.9
IND,2001,2.7,33.6
KEN,2009,10.5,16.3
KEN,2009,10.5,10.0
KEN,2009,10.5,13.1
GBR,2004,21.7,1.8
GBR,2004,21.7,1.4
GBR,2004,21.7,1.0
USA,2001,27.0,2.3
USA,2001,27.0,1.7
USA,2001,27.0,1.0
LKA,1991,0.6,33.4
LKA,1991,0.6,32.1
LKA,1991,0.6,34.7
USA,2003,30.4,2.3
USA,2003,30.4,1.7
USA,2003,30.4,1.0
LKA,2015,6.9,16.5
LKA,2015,6.9,14.6
LKA,2015,6.9,18.7
IND,1992,0.9,39.1
IND,1992,0.9,39.7
IND,1992,0.9,40.3
LKA,2021,6.2,11.5
LKA,2021,6.2,15.4
LKA,2021,6.2,13.4
USA,1993,23.1,2.8
USA,1993,23.1,2.0
USA,1993,23.1,1.1
LKA,1998,2.1,28.7
LKA,1998,2.1,30.5
LKA,1998,2.1,26.8
GBR,2022,27.6,1.8
GBR,2022,27.6,1.7
GBR,2022,27.6,1.7
GBR,2015,25.4,1.2
GBR,2015,25.4,1.7
GBR,2015,25.4,1.5
USA,2020,41.0,1.7
USA,2020,41.0,2.1
USA,2020,41.0,1.3
KEN,1993,2.7,20.1
KEN,1993,2.7,11.6
KEN,1993,2.7,15.8
IND,1997,2.0,36.7
IND,1997,2.0,35.8
IND,1997,2.0,35.0
USA,2007,32.9,2.2
USA,2007,32.9,1.6
USA,2007,32.9,1.0
USA,1991,21.4,2.2
USA,1991,21.4,3.1
USA,1991,21.4,1.1
KEN,2001,6.5,11.1
KEN,2001,6.5,14.6
KEN,2001,6.5,18.3
KEN,2008,6.7,10.2
KEN,2008,6.7,16.6
KEN,2008,6.7,13.3
GBR,2014,26.0,1.5
GBR,2014,26.0,1.2
GBR,2014,26.0,1.7
LKA,1994,0.8,29.8
LKA,1994,0.8,32.9
LKA,1994,0.8,31.4
GBR,2002,19.5,1.8
GBR,2002,19.5,1.0
GBR,2002,19.5,1.4
GBR,2007,23.2,1.0
GBR,2007,23.2,1.8
GBR,2007,23.2,1.4
USA,2008,35.3,2.2
USA,2008,35.3,1.0
USA,2008,35.3,1.6
IND,1994,1.1,37.4
IND,1994,1.1,38.1
IND,1994,1.1,38.8
LKA,1993,0.7,33.5
LKA,1993,0.7,30.6
LKA,1993,0.7,32.0
KEN,2016,9.6,15.4
KEN,2016,9.6,8.9
KEN,2016,9.6,12.1
GBR,2012,25.5,1.1
GBR,2012,25.5,1.7
GBR,2012,25.5,1.4
IND,2022,7.3,14.7
IND,2022,7.3,13.1
IND,2022,7.3,13.9
GBR,2011,24.6,1.1
GBR,2011,24.6,1.7
GBR,2011,24.6,1.4
IND,1992,1.3,39.1
IND,1992,1.3,39.7
IND,1992,1.3,40.3
LKA,2011,3.2,21.3
LKA,2011,3.2,17.0
LKA,2011,3.2,19.1
USA,2018,40.0,1.2
USA,2018,40.0,2.1
USA,2018,40.0,1.7
GBR,1998,18.7,1.5
GBR,1998,18.7,1.0
GBR,1998,18.7,2.0
KEN,1992,2.5,20.3
KEN,1992,2.5,15.9
KEN,1992,2.5,11.7
KEN,2022,12.4,8.2
KEN,2022,12.4,11.8
KEN,2022,12.4,15.5
KEN,2019,10.9,15.4
KEN,2019,10.9,11.9
KEN,2019,10.9,8.5
USA,1997,24.6,2.5
USA,1997,24.6,1.0
USA,1997,24.6,1.8
GBR,1995,13.9,2.3
GBR,1995,13.9,1.1
GBR,1995,13.9,1.7
USA,2013,36.5,2.2
USA,2013,36.5,1.6
USA,2013,36.5,1.0
KEN,2011,11.6,15.9
KEN,2011,11.6,12.8
KEN,2011,11.6,9.7
GBR,1994,13.1,2.4
GBR,1994,13.1,1.8
GBR,1994,13.1,1.1
USA,2009,36.0,2.2
USA,2009,36.0,1.0
USA,2009,36.0,1.6
GBR,1991,12.6,2.8
GBR,1991,12.6,2.1
GBR,1991,12.6,1.3
GBR,2017,25.0,1.5
GBR,2017,25.0,1.7
GBR,2017,25.0,1.3
KEN,1999,3.9,15.0
KEN,1999,3.9,18.7
KEN,1999,3.9,11.3
LKA,2003,3.0,25.0
LKA,2003,3.0,27.2
LKA,2003,3.0,22.9
KEN,2022,6.0,8.2
KEN,2022,6.0,11.8
KEN,2022,6.0,15.5
IND,2003,1.4,31.1
IND,2003,1.4,30.3
IND,2003,1.4,31.9
LKA,2015,4.2,16.5
LKA,2015,4.2,14.6
LKA,2015,4.2,18.7
KEN,1992,3.6,20.3
KEN,1992,3.6,15.9
KEN,1992,3.6,11.7
USA,2021,42.6,1.3
USA,2021,42.6,2.1
USA,2021,42.6,1.7
KEN,2014,13.3,12.3
KEN,2014,13.3,9.2
KEN,2014,13.3,15.5
IND,2021,4.9,13.9
IND,2021,4.9,15.5
IND,2021,4.9,14.7
LKA,1996,1.8,31.7
LKA,1996,1.8,28.4
LKA,1996,1.8,30.0
GBR,2018,26.8,1.4
GBR,2018,26.8,1.6
GBR,2018,26.8,1.7
IND,1991,0.5,40.1
IND,1991,0.5,40.5
IND,1991,0.5,41.1
IND,1993,1.5,38.2
IND,1993,1.5,39.6
IND,1993,1.5,38.9
LKA,2017,4.8,13.5
LKA,2017,4.8,15.4
LKA,2017,4.8,17.5
KEN,1990,1.2,20.7
KEN,1990,1.2,16.1
KEN,1990,1.2,11.8
USA,2007,33.8,2.2
USA,2007,33.8,1.6
USA,2007,33.8,1.0
KEN,1998,3.7,15.1
KEN,1998,3.7,11.4
KEN,1998,3.7,19.0
GBR,1993,15.3,1.2
GBR,1993,15.3,2.5
GBR,1993,15.3,1.9
USA,2002,28.1,1.0
USA,2002,28.1,2.3
USA,2002,28.1,1.7
IND,2000,1.8,33.5
IND,2000,1.8,32.7
IND,2000,1.8,34.4
IND,1993,1.0,38.2
IND,1993,1.0,39.6
IND,1993,1.0,38.9
USA,2006,32.1,1.0
USA,2006,32.1,1.6
USA,2006,32.1,2.2
USA,1995,22.8,1.0
USA,1995,22.8,1.9
USA,1995,22.8,2.6
KEN,2014,4.2,12.3
KEN,2014,4.2,9.2
KEN,2014,4.2,15.5
LKA,2014,8.9,17.1
LKA,2014,8.9,19.3
LKA,2014,8.9,15.2
LKA,1995,0.8,30.7
LKA,1995,0.8,32.3
LKA,1995,0.8,29.1
KEN,1995,4.3,19.7
KEN,1995,4.3,11.6
KEN,1995,4.3,15.5
USA,2005,32.2,2.2
USA,2005,32.2,1.0
USA,2005,32.2,1.6
KEN,2013,12.7,15.6
KEN,2013,12.7,9.3
KEN,2013,12.7,12.4
LKA,2008,2.5,21.2
LKA,2008,2.5,23.5
LKA,2008,2.5,19.1
LKA,2019,8.9,12.5
LKA,2019,8.9,14.3
LKA,2019,8.9,16.4
IND,2014,4.6,20.0
IND,2014,4.6,21.7
IND,2014,4.6,20.8
IND,1994,0.6,37.4
IND,1994,0.6,38.1
IND,1994,0.6,38.8
KEN,1996,4.6,11.5
KEN,1996,4.6,19.4
KEN,1996,4.6,15.4
GBR,2003,20.2,1.4
GBR,2003,20.2,1.8
GBR,2003,20.2,1.0
USA,1993,18.9,2.8
USA,1993,18.9,2.0
USA,1993,18.9,1.1
LKA,1993,2.1,33.5
LKA,1993,2.1,30.6
LKA,1993,2.1,32.0
GBR,2003,21.9,1.4
GBR,2003,21.9,1.8
GBR,2003,21.9,1.0
IND,2002,1.3,32.7
IND,2002,1.3,31.1
IND,2002,1.3,31.9
KEN,1997,3.5,11.4
KEN,1997,3.5,19.2
KEN,1997,3.5,15.2
KEN,1992,1.4,20.3
KEN,1992,1.4,15.9
KEN,1992,1.4,11.7
KEN,2002,2.4,11.0
KEN,2002,2.4,18.0
KEN,2002,2.4,14.5
USA,2013,38.3,2.2
USA,2013,38.3,1.6
USA,2013,38.3,1.0
GBR,2017,26.6,1.5
GBR,2017,26.6,1.7
GBR,2017,26.6,1.3
USA,2012,37.8,1.0
USA,2012,37.8,2.2
USA,2012,37.8,1.6
LKA,2004,4.6,26.4
LKA,2004,4.6,24.2
LKA,2004,4.6,22.1
LKA,2011,5.4,21.3
LKA,2011,5.4,17.0
LKA,2011,5.4,19.1
USA,2011,36.4,1.0
USA,2011,36.4,1.6
USA,2011,36.4,2.2
GBR,2021,26.6,1.7
GBR,2021,26.6,1.7
GBR,2021,26.6,1.6
USA,2009,34.4,2.2
USA,2009,34.4,1.0
USA,2009,34.4,1.6
USA,1990,16.4,1.2
USA,1990,16.4,2.3
USA,1990,16.4,3.3
IND,2004,2.4,31.0
IND,2004,2.4,30.2
IND,2004,2.4,29.4
USA,2005,31.2,2.2
USA,2005,31.2,1.0
USA,2005,31.2,1.6
USA,1998,27.3,2.4
USA,1998,27.3,1.0
USA,1998,27.3,1.7
KEN,2012,12.2,15.8
KEN,2012,12.2,12.6
KEN,2012,12.2,9.5
IND,1999,1.7,33.5
IND,1999,1.7,35.2
IND,1999,1.7,34.3
KEN,1996,3.2,11.5
KEN,1996,3.2,19.4
KEN,1996,3.2,15.4
LKA,1995,2.4,30.7
LKA,1995,2.4,32.3
LKA,1995,2.4,29.1
IND,2020,4.6,16.3
IND,2020,4.6,15.5
IND,2020,4.6,14.7
IND,2001,2.0,32.7
IND,2001,2.0,31.9
IND,2001,2.0,33.6
KEN,2001,2.3,11.1
KEN,2001,2.3,14.6
KEN,2001,2.3,18.3
IND,2000,2.5,33.5
IND,2000,2.5,32.7
IND,2000,2.5,34.4
KEN,2017,10.1,8.8
KEN,2017,10.1,15.3
KEN,2017,10.1,12.0
LKA,2006,2.2,22.7
LKA,2006,2.2,25.0
LKA,2006,2.2,20.6
USA,2017,39.5,1.2
USA,2017,39.5,1.6
USA,2017,39.5,2.1
GBR,2006,23.5,1.4
GBR,2006,23.5,1.0
GBR,2006,23.5,1.8
KEN,2013,4.0,15.6
KEN,2013,4.0,9.3
KEN,2013,4.0,12.4
IND,1997,1.4,36.7
IND,1997,1.4,35.8
IND,1997,1.4,35.0
GBR,2008,22.9,1.0
GBR,2008,22.9,1.8
GBR,2008,22.9,1.4
IND,2016,3.6,19.8
IND,2016,3.6,19.0
IND,2016,3.6,18.2
USA,2002,29.5,1.0
USA,2002,29.5,2.3
USA,2002,29.5,1.7
GBR,2003,21.1,1.4
GBR,2003,21.1,1.8
GBR,2003,21.1,1.0
GBR,1995,16.7,2.3
GBR,1995,16.7,1.1
GBR,1995,16.7,1.7
IND,2018,4.1,16.4
IND,2018,4.1,17.2
IND,2018,4.1,18.0
IND,2005,3.6,28.6
IND,2005,3.6,30.1
IND,2005,3.6,29.3
GBR,2019,25.4,1.6
GBR,2019,25.4,1.4
GBR,2019,25.4,1.7
IND,2004,1.6,31.0
IND,2004,1.6,30.2
IND,2004,1.6,29.4
IND,2009,3.4,24.9
IND,2009,3.4,26.5
IND,2009,3.4,25.7
IND,1995,1.7,37.3
IND,1995,1.7,36.6
IND,1995,1.7,38.1
IND,2019,4.4,16.3
IND,2019,4.4,15.5
IND,2019,4.4,17.2
LKA,2014,3.9,17.1
LKA,2014,3.9,19.3
LKA,2014,3.9,15.2
IND,2012,2.8,22.0
IND,2012,2.8,23.6
IND,2012,2.8,22.8
LKA,1990,1.1,32.8
LKA,1990,1.1,35.3
LKA,1990,1.1,34.0
LKA,2001,1.4,26.5
LKA,2001,1.4,28.6
LKA,2001,1.4,24.5
USA,2016,39.0,1.6
USA,2016,39.0,2.1
USA,2016,39.0,1.1
LKA,2010,3.0,17.7
LKA,2010,3.0,22.0
LKA,2010,3.0,19.8
GBR,1992,11.7,2.0
GBR,1992,11.7,2.7
GBR,1992,11.7,1.2
KEN,2020,5.5,15.4
KEN,2020,5.5,8.4
KEN,2020,5.5,11.9
USA,2000,29.1,2.3
USA,2000,29.1,1.0
USA,2000,29.1,1.7
LKA,1997,1.0,27.6
LKA,1997,1.0,31.1
LKA,1997,1.0,29.3
USA,2007,34.6,2.2
USA,2007,34.6,1.6
USA,2007,34.6,1.0
USA,2019,39.4,2.1
USA,2019,39.4,1.7
USA,2019,39.4,1.2
IND,1990,0.8,41.4
IND,1990,0.8,41.8
IND,1990,0.8,41.0
KEN,2003,2.6,14.3
KEN,2003,2.6,10.9
KEN,2003,2.6,17.8
GBR,2020,27.2,1.7
GBR,2020,27.2,1.5
GBR,2020,27.2,1.6
GBR,1996,17.3,1.7
GBR,1996,17.3,2.2
GBR,1996,17.3,1.1
LKA,2017,7.9,13.5
LKA,2017,7.9,15.4
LKA,2017,7.9,17.5
GBR,1993,13.9,1.2
GBR,1993,13.9,2.5
GBR,1993,13.9,1.9
GBR,1990,11.9,2.2
GBR,1990,11.9,1.3
GBR,1990,11.9,3.0
LKA,2000,3.5,25.3
LKA,2000,3.5,29.2
LKA,2000,3.5,27.2
GBR,2022,26.8,1.8
GBR,2022,26.8,1.7
GBR,2022,26.8,1.7
LKA,1998,1.1,28.7
LKA,1998,1.1,30.5
LKA,1998,1.1,26.8
IND,1990,0.5,41.4
IND,1990,0.5,41.8
IND,1990,0.5,41.0
IND,1998,2.2,35.9
IND,1998,2.2,35.1
IND,1998,2.2,34.3
USA,2020,39.9,1.7
USA,2020,39.9,2.1
USA,2020,39.9,1.3
GBR,2005,22.3,1.0
GBR,2005,22.3,1.8
GBR,2005,22.3,1.4
USA,2017,38.4,1.2
USA,2017,38.4,1.6
USA,2017,38.4,2.1
LKA,2019,12.1,12.5
LKA,2019,12.1,14.3
LKA,2019,12.1,16.4
IND,1990,1.1,41.4
IND,1990,1.1,41.8
IND,1990,1.1,41.0
USA,1996,21.7,2.5
USA,1996,21.7,1.0
USA,1996,21.7,1.8
LKA,2004,1.8,26.4
LKA,2004,1.8,24.2
LKA,2004,1.8,22.1
USA,2000,27.5,2.3
USA,2000,27.5,1.0
USA,2000,27.5,1.7
LKA,2002,1.5,27.9
LKA,2002,1.5,23.7
LKA,2002,1.5,25.8
LKA,2013,3.6,15.8
LKA,2013,3.6,20.0
LKA,2013,3.6,17.8
LKA,2015,9.5,16.5
LKA,2015,9.5,14.6
LKA,2015,9.5,18.7
LKA,2001,3.8,26.5
LKA,2001,3.8,28.6
LKA,2001,3.8,24.5
LKA,2020,5.8,12.0
LKA,2020,5.8,15.9
LKA,2020,5.8,13.9
GBR,2012,24.0,1.1
GBR,2012,24.0,1.7
GBR,2012,24.0,1.4
KEN,1997,4.9,11.4
KEN,1997,4.9,19.2
KEN,1997,4.9,15.2
USA,2014,37.9,1.6
USA,2014,37.9,2.2
USA,2014,37.9,1.1
USA,2015,37.5,1.6
USA,2015,37.5,1.1
USA,2015,37.5,2.1
USA,2022,43.2,2.1
USA,2022,43.2,1.7
USA,2022,43.2,1.4
LKA,2006,5.3,22.7
LKA,2006,5.3,25.0
LKA,2006,5.3,20.6
KEN,2022,18.5,8.2
KEN,2022,18.5,11.8
KEN,2022,18.5,15.5
KEN,1991,3.4,20.5
KEN,1991,3.4,11.7
KEN,1991,3.4,16.0
USA,2009,35.2,2.2
USA,2009,35.2,1.0
USA,2009,35.2,1.6
IND,2021,8.9,13.9
IND,2021,8.9,15.5
IND,2021,8.9,14.7
GBR,2009,24.0,1.4
GBR,2009,24.0,1.7
GBR,2009,24.0,1.1
KEN,1990,2.3,20.7
KEN,1990,2.3,16.1
KEN,1990,2.3,11.8
IND,2002,2.1,32.7
IND,2002,2.1,31.1
IND,2002,2.1,31.9
IND,2017,7.3,17.3
IND,2017,7.3,18.9
IND,2017,7.3,18.1
GBR,2017,25.8,1.5
GBR,2017,25.8,1.7
GBR,2017,25.8,1.3
IND,2013,4.4,21.8
IND,2013,4.4,22.6
IND,2013,4.4,21.0
USA,1997,22.7,2.5
USA,1997,22.7,1.0
USA,1997,22.7,1.8
USA,2010,35.0,2.2
USA,2010,35.0,1.0
USA,2010,35.0,1.6
LKA,2018,11.4,13.0
LKA,2018,11.4,17.0
LKA,2018,11.4,14.9
LKA,1992,1.9,31.3
LKA,1992,1.9,34.1
LKA,1992,1.9,32.7
IND,2015,4.9,20.7
IND,2015,4.9,19.9
IND,2015,4.9,19.1
IND,2000,1.1,33.5
IND,2000,1.1,32.7
IND,2000,1.1,34.4
LKA,1990,0.6,32.8
LKA,1990,0.6,35.3
LKA,1990,0.6,34.0
USA,1990,18.6,1.2
USA,1990,18.6,2.3
USA,1990,18.6,3.3
KEN,1998,1.9,15.1
KEN,1998,1.9,11.4
KEN,1998,1.9,19.0
GBR,2013,25.0,1.5
GBR,2013,25.0,1.7
GBR,2013,25.0,1.2
USA,2010,36.6,2.2
USA,2010,36.6,1.0
USA,2010,36.6,1.6
LKA,1990,1.7,32.8
LKA,1990,1.7,35.3
LKA,1990,1.7,34.0
GBR,2006,22.0,1.4
GBR,2006,22.0,1.0
GBR,2006,22.0,1.8
USA,2014,37.0,1.6
USA,2014,37.0,2.2
USA,2014,37.0,1.1
