SpatialDim,TimeDim,Obesity,Undernourishment
KEN,1994,4.1,15.6
KEN,1994,4.1,11.6
KEN,1994,4.1,19.9
LKA,1992,0.7,31.3
LKA,1992,0.7,34.1
LKA,1992,0.7,32.7
GBR,1999,19.4,2.0
GBR,1999,19.4,1.5
GBR,1999,19.4,1.0
KEN,2017,15.2,8.8
KEN,2017,15.2,15.3
KEN,2017,15.2,12.0
KEN,2002,4.8,11.0
KEN,2002,4.8,18.0
KEN,2002,4.8,14.5
LKA,2017,10.7,13.5
LKA,2017,10.7,15.4
LKA,2017,10.7,17.5
GBR,2016,26.4,1.3
GBR,2016,26.4,1.5
GBR,2016,26.4,1.7
GBR,1997,18.0,1.6
GBR,1997,18.0,1.0
GBR,1997,18.0,2.1
GBR,2010,25.0,1.4
GBR,2010,25.0,1.7
GBR,2010,25.0,1.1
GBR,1992,13.2,2.0
GBR,1992,13.2,2.7
GBR,1992,13.2,1.2
KEN,2010,7.4,9.8
KEN,2010,7.4,16.1
KEN,2010,7.4,12.9
USA,2002,30.8,1.0
USA,2002,30.8,2.3
USA,2002,30.8,1.7
GBR,1991,14.0,2.8
GBR,1991,14.0,2.1
GBR,1991,14.0,1.3
IND,1991,1.2,40.1
IND,1991,1.2,40.5
IND,1991,1.2,41.1
IND,2015,6.5,20.7
IND,2015,6.5,19.9
IND,2015,6.5,19.1
IND,2009,4.6,24.9
IND,2009,4.6,26.5
IND,2009,4.6,25.7
LKA,1999,3.3,26.1
LKA,1999,3.3,29.9
LKA,1999,3.3,28.0
GBR,2000,20.1,1.9
GBR,2000,20.1,1.5
GBR,2000,20.1,1.0
IND,2011,5.2,23.0
IND,2011,5.2,24.5
IND,2011,5.2,23.8
IND,2003,3.2,31.1
IND,2003,3.2,30.3
IND,2003,3.2,31.9
GBR,2009,23.3,1.4
GBR,2009,23.3,1.7
GBR,2009,23.3,1.1
GBR,2012,24.8,1.1
GBR,2012,24.8,1.7
GBR,2012,24.8,1.4
KEN,2005,5.7,13.9
KEN,2005,5.7,17.3
KEN,2005,5.7,10.6
USA,1994,21.9,1.1
USA,1994,21.9,2.7
USA,1994,21.9,1.9
IND,2019,8.1,16.3
IND,2019,8.1,15.5
IND,2019,8.1,17.2
LKA,2001,2.6,26.5
LKA,2001,2.6,28.6
LKA,2001,2.6,24.5
IND,2018,7.7,16.4
IND,2018,7.7,17.2
IND,2018,7.7,18.0
IND,2014,6.1,20.0
IND,2014,6.1,21.7
IND,2014,6.1,20.8
USA,1996,23.7,2.5
USA,1996,23.7,1.0
USA,1996,23.7,1.8
KEN,2007,9.4,10.3
KEN,2007,9.4,13.5
KEN,2007,9.4,16.8
LKA,2018,5.1,13.0
LKA,2018,5.1,17.0
LKA,2018,5.1,14.9
USA,2022,40.8,2.1
USA,2022,40.8,1.7
USA,2022,40.8,1.4
USA,2018,41.0,1.2
USA,2018,41.0,2.1
USA,2018,41.0,1.7
GBR,1990,13.4,2.2
GBR,1990,13.4,1.3
GBR,1990,13.4,3.0
USA,2005,33.2,2.2
USA,2005,33.2,1.0
USA,2005,33.2,1.6
KEN,1991,1.3,20.5
KEN,1991,1.3,11.7
KEN,1991,1.3,16.0
IND,1991,0.9,40.1
IND,1991,0.9,40.5
IND,1991,0.9,41.1
KEN,2000,6.1,14.8
KEN,2000,6.1,18.5
KEN,2000,6.1,11.2
LKA,2005,2.0,21.4
LKA,2005,2.0,25.7
LKA,2005,2.0,23.5
GBR,2022,26.1,1.8
GBR,2022,26.1,1.7
GBR,2022,26.1,1.7
USA,1995,24.7,1.0
USA,1995,24.7,1.9
USA,1995,24.7,2.6
USA,2000,25.9,2.3
USA,2000,25.9,1.0
USA,2000,25.9,1.7
LKA,2010,5.0,17.7
LKA,2010,5.0,22.0
LKA,2010,5.0,19.8
KEN,2003,7.4,14.3
KEN,2003,7.4,10.9
KEN,2003,7.4,17.8
USA,2006,33.0,1.0
USA,2006,33.0,1.6
USA,2006,33.0,2.2
IND,2017,3.8,17.3
IND,2017,3.8,18.9
IND,2017,3.8,18.1
LKA,2012,5.7,18.4
LKA,2012,5.7,16.4
LKA,2012,5.7,20.6
KEN,2008,10.0,10.2
KEN,2008,10.0,16.6
KEN,2008,10.0,13.3
IND,2016,6.9,19.8
IND,2016,6.9,19.0
IND,2016,6.9,18.2
USA,2003,29.1,2.3
USA,2003,29.1,1.7
USA,2003,29.1,1.0
KEN,2011,7.8,15.9
KEN,2011,7.8,12.8
KEN,2011,7.8,9.7
LKA,1996,2.6,31.7
LKA,1996,2.6,28.4
LKA,1996,2.6,30.0
KEN,1996,1.7,11.5
KEN,1996,1.7,19.4
KEN,1996,1.7,15.4
KEN,2006,6.1,17.0
KEN,2006,6.1,13.7
KEN,2006,6.1,10.5
GBR,2013,25.8,1.5
GBR,2013,25.8,1.7
GBR,2013,25.8,1.2
LKA,2022,10.6,12.9
LKA,2022,10.6,15.0
LKA,2022,10.6,11.1
KEN,1999,5.7,15.0
KEN,1999,5.7,18.7
KEN,1999,5.7,11.3
KEN,2021,17.8,8.3
KEN,2021,17.8,11.8
KEN,2021,17.8,15.5
KEN,2001,4.5,11.1
KEN,2001,4.5,14.6
KEN,2001,4.5,18.3
IND,2010,4.9,24.7
IND,2010,4.9,24.0
IND,2010,4.9,25.5
IND,2020,8.5,16.3
IND,2020,8.5,15.5
IND,2020,8.5,14.7
KEN,2015,4.4,9.0
KEN,2015,4.4,12.2
KEN,2015,4.4,15.4
IND,2007,3.0,26.8
IND,2007,3.0,27.6
IND,2007,3.0,28.3
KEN,2021,5.7,8.3
KEN,2021,5.7,11.8
KEN,2021,5.7,15.5
KEN,1997,1.8,11.4
KEN,1997,1.8,19.2
KEN,1997,1.8,15.2
LKA,2002,4.0,27.9
LKA,2002,4.0,23.7
LKA,2002,4.0,25.8
KEN,2020,17.2,15.4
KEN,2020,17.2,8.4
KEN,2020,17.2,11.9
KEN,2016,14.5,15.4
KEN,2016,14.5,8.9
KEN,2016,14.5,12.1
GBR,2016,25.6,1.3
GBR,2016,25.6,1.5
GBR,2016,25.6,1.7
KEN,2011,3.7,15.9
KEN,2011,3.7,12.8
KEN,2011,3.7,9.7
LKA,2021,13.5,11.5
LKA,2021,13.5,15.4
LKA,2021,13.5,13.4
USA,1992,20.2,3.0
USA,1992,20.2,2.1
USA,1992,20.2,1.1
IND,2001,1.2,32.7
IND,2001,1.2,31.9
IND,2001,1.2,33.6
GBR,1994,16.0,2.4
GBR,1994,16.0,1.8
GBR,1994,16.0,1.1
IND,2012,5.5,22.0
IND,2012,5.5,23.6
IND,2012,5.5,22.8
IND,2021,6.9,13.9
IND,2021,6.9,15.5
IND,2021,6.9,14.7
KEN,2010,11.0,9.8
KEN,2010,11.0,16.1
KEN,2010,11.0,12.9
KEN,1994,1.5,15.6
KEN,1994,1.5,11.6
KEN,1994,1.5,19.9
IND,2002,2.9,32.7
IND,2002,2.9,31.1
IND,2002,2.9,31.9
KEN,2018,15.8,15.3
KEN,2018,15.8,8.7
KEN,2018,15.8,11.9
USA,1999,28.2,1.7
USA,1999,28.2,1.0
USA,1999,28.2,2.4
USA,2015,39.4,1.6
USA,2015,39.4,1.1
USA,2015,39.4,2.1
USA,2018,38.9,1.2
USA,2018,38.9,2.1
USA,2018,38.9,1.7
GBR,1998,16.3,1.5
GBR,1998,16.3,1.0
GBR,1998,16.3,2.0
KEN,2019,16.5,15.4
KEN,2019,16.5,11.9
KEN,2019,16.5,8.5
IND,1995,0.7,37.3
IND,1995,0.7,36.6
IND,1995,0.7,38.1
KEN,2006,8.9,17.0
KEN,2006,8.9,13.7
KEN,2006,8.9,10.5
GBR,1991,11.0,2.8
GBR,1991,11.0,2.1
GBR,1991,11.0,1.3
USA,2016,40.0,1.6
USA,2016,40.0,2.1
USA,2016,40.0,1.1
GBR,1997,15.5,1.6
GBR,1997,15.5,1.0
GBR,1997,15.5,2.1
IND,2012,4.1,22.0
IND,2012,4.1,23.6
IND,2012,4.1,22.8
USA,2019,41.6,2.1
USA,2019,41.6,1.7
USA,2019,41.6,1.2
KEN,2012,3.9,15.8
KEN,2012,3.9,12.6
KEN,2012,3.9,9.5
KEN,2004,5.4,14.1
KEN,2004,5.4,17.5
KEN,2004,5.4,10.8
LKA,1998,3.0,28.7
LKA,1998,3.0,30.5
LKA,1998,3.0,26.8
IND,2013,5.8,21.8
IND,2013,5.8,22.6
IND,2013,5.8,21.0
IND,2018,5.8,16.4
IND,2018,5.8,17.2
IND,2018,5.8,18.0
LKA,2020,12.8,12.0
LKA,2020,12.8,15.9
LKA,2020,12.8,13.9
IND,2006,3.8,27.7
IND,2006,3.8,28.5
IND,2006,3.8,29.3
KEN,2012,8.1,15.8
KEN,2012,8.1,12.6
KEN,2012,8.1,9.5
IND,2006,1.8,27.7
IND,2006,1.8,28.5
IND,2006,1.8,29.3
USA,2014,38.9,1.6
USA,2014,38.9,2.2
USA,2014,38.9,1.1
LKA,2022,6.6,12.9
LKA,2022,6.6,15.0
LKA,2022,6.6,11.1
IND,2019,6.2,16.3
IND,2019,6.2,15.5
IND,2019,6.2,17.2
USA,2004,31.3,2.3
USA,2004,31.3,1.0
USA,2004,31.3,1.6
GBR,2009,24.7,1.4
GBR,2009,24.7,1.7
GBR,2009,24.7,1.1
LKA,1995,1.6,30.7
LKA,1995,1.6,32.3
LKA,1995,1.6,29.1
KEN,1991,2.4,20.5
KEN,1991,2.4,11.7
KEN,1991,2.4,16.0
GBR,1998,17.6,1.5
GBR,1998,17.6,1.0
GBR,1998,17.6,2.0
LKA,2020,9.4,12.0
LKA,2020,9.4,15.9
LKA,2020,9.4,13.9
LKA,1993,1.4,33.5
LKA,1993,1.4,30.6
LKA,1993,1.4,32.0
USA,2003,31.6,2.3
USA,2003,31.6,1.7
USA,2003,31.6,1.0
KEN,2007,3.2,10.3
KEN,2007,3.2,13.5
KEN,2007,3.2,16.8
GBR,2005,21.5,1.0
GBR,2005,21.5,1.8
GBR,2005,21.5,1.4
IND,2014,3.2,20.0
IND,2014,3.2,21.7
IND,2014,3.2,20.8
LKA,1991,1.2,33.4
LKA,1991,1.2,32.1
LKA,1991,1.2,34.7
USA,1997,26.5,2.5
USA,1997,26.5,1.0
USA,1997,26.5,1.8
USA,1998,25.6,2.4
USA,1998,25.6,1.0
USA,1998,25.6,1.7
KEN,2014,8.8,12.3
KEN,2014,8.8,9.2
KEN,2014,8.8,15.5
USA,2012,36.1,1.0
USA,2012,36.1,2.2
USA,2012,36.1,1.6
LKA,2008,6.1,21.2
LKA,2008,6.1,23.5
LKA,2008,6.1,19.1
KEN,2004,7.9,14.1
KEN,2004,7.9,17.5
KEN,2004,7.9,10.8
GBR,1997,16.8,1.6
GBR,1997,16.8,1.0
GBR,1997,16.8,2.1
KEN,2015,13.9,9.0
KEN,2015,13.9,12.2
KEN,2015,13.9,15.4
KEN,2007,6.4,10.3
KEN,2007,6.4,13.5
KEN,2007,6.4,16.8
GBR,2010,24.3,1.4
GBR,2010,24.3,1.7
GBR,2010,24.3,1.1
IND,2016,5.2,19.8
IND,2016,5.2,19.0
IND,2016,5.2,18.2
USA,2021,40.4,1.3
USA,2021,40.4,2.1
USA,2021,40.4,1.7
USA,1991,17.2,2.2
USA,1991,17.2,3.1
USA,1991,17.2,1.1
KEN,2013,8.5,15.6
KEN,2013,8.5,9.3
KEN,2013,8.5,12.4
GBR,2019,26.2,1.6
GBR,2019,26.2,1.4
GBR,2019,26.2,1.7
GBR,2015,24.5,1.2
GBR,2015,24.5,1.7
GBR,2015,24.5,1.5
LKA,2000,2.4,25.3
LKA,2000,2.4,29.2
LKA,2000,2.4,27.2
GBR,2014,24.3,1.5
GBR,2014,24.3,1.2
GBR,2014,24.3,1.7
USA,2013,37.4,2.2
USA,2013,37.4,1.6
USA,2013,37.4,1.0
GBR,1990,10.3,2.2
GBR,1990,10.3,1.3
GBR,1990,10.3,3.0
LKA,2000,1.3,25.3
LKA,2000,1.3,29.2
LKA,2000,1.3,27.2
LKA,1991,1.8,33.4
LKA,1991,1.8,32.1
LKA,1991,1.8,34.7
GBR,2018,25.2,1.4
GBR,2018,25.2,1.6
GBR,2018,25.2,1.7
IND,2008,3.2,25.9
IND,2008,3.2,26.6
IND,2008,3.2,27.4
GBR,2002,21.3,1.8
GBR,2002,21.3,1.0
GBR,2002,21.3,1.4
KEN,2016,4.5,15.4
KEN,2016,4.5,8.9
KEN,2016,4.5,12.1
KEN,2006,3.0,17.0
KEN,2006,3.0,13.7
KEN,2006,3.0,10.5
GBR,2013,24.2,1.5
GBR,2013,24.2,1.7
GBR,2013,24.2,1.2
GBR,2020,26.4,1.7
GBR,2020,26.4,1.5
GBR,2020,26.4,1.6
LKA,2007,5.7,19.9
LKA,2007,5.7,24.2
LKA,2007,5.7,22.0
USA,2017,40.5,1.2
USA,2017,40.5,1.6
USA,2017,40.5,2.1
IND,1997,0.8,36.7
IND,1997,0.8,35.8
IND,1997,0.8,35.0
GBR,2007,23.9,1.0
GBR,2007,23.9,1.8
GBR,2007,23.9,1.4
GBR,2018,26.0,1.4
GBR,2018,26.0,1.6
GBR,2018,26.0,1.7
IND,2006,2.8,27.7
IND,2006,2.8,28.5
IND,2006,2.8,29.3
USA,1992,22.2,3.0
USA,1992,22.2,2.1
USA,1992,22.2,1.1
IND,2008,4.4,25.9
IND,2008,4.4,26.6
IND,2008,4.4,27.4
USA,2021,41.5,1.3
USA,2021,41.5,2.1
USA,2021,41.5,1.7
GBR,1999,18.3,2.0
GBR,1999,18.3,1.5
GBR,1999,18.3,1.0
LKA,1992,1.3,31.3
LKA,1992,1.3,34.1
LKA,1992,1.3,32.7
IND,1999,2.4,33.5
IND,1999,2.4,35.2
IND,1999,2.4,34.3
IND,2022,9.4,14.7
IND,2022,9.4,13.1
IND,2022,9.4,13.9
IND,1998,0.9,35.9
IND,1998,0.9,35.1
IND,1998,0.9,34.3
KEN,2004,2.7,14.1
KEN,2004,2.7,17.5
KEN,2004,2.7,10.8
LKA,2005,3.5,21.4
LKA,2005,3.5,25.7
LKA,2005,3.5,23.5
USA,1990,20.6,1.2
USA,1990,20.6,2.3
USA,1990,20.6,3.3
USA,2020,42.1,1.7
USA,2020,42.1,2.1
USA,2020,42.1,1.3
GBR,2011,23.8,1.1
GBR,2011,23.8,1.7
GBR,2011,23.8,1.4
KEN,1999,2.0,15.0
KEN,1999,2.0,18.7
KEN,1999,2.0,11.3
KEN,2002,7.0,11.0
KEN,2002,7.0,18.0
KEN,2002,7.0,14.5
GBR,1996,14.7,1.7
GBR,1996,14.7,2.2
GBR,1996,14.7,1.1
GBR,2021,25.8,1.7
GBR,2021,25.8,1.7
GBR,2021,25.8,1.6
LKA,2008,4.4,21.2
LKA,2008,4.4,23.5
LKA,2008,4.4,19.1
KEN,2009,3.5,16.3
KEN,2009,3.5,10.0
KEN,2009,3.5,13.1
IND,2022,5.2,14.7
IND,2022,5.2,13.1
IND,2022,5.2,13.9
LKA,1999,2.2,26.1
LKA,1999,2.2,29.9
LKA,1999,2.2,28.0
KEN,1994,2.9,15.6
KEN,1994,2.9,11.6
KEN,1994,2.9,19.9
LKA,1997,1.9,27.6
LKA,1997,1.9,31.1
LKA,1997,1.9,29.3
USA,2001,28.5,2.3
USA,2001,28.5,1.7
USA,2001,28.5,1.0
KEN,2005,2.9,13.9
KEN,2005,2.9,17.3
KEN,2005,2.9,10.6
USA,1993,21.0,2.8
USA,1993,21.0,2.0
USA,1993,21.0,1.1
LKA,2009,4.7,22.8
LKA,2009,4.7,20.5
LKA,2009,4.7,18.4
IND,2011,3.9,23.0
IND,2011,3.9,24.5
IND,2011,3.9,23.8
GBR,1995,15.3,2.3
GBR,1995,15.3,1.1
GBR,1995,15.3,1.7
KEN,2000,4.2,14.8
KEN,2000,4.2,18.5
KEN,2000,4.2,11.2
USA,1996,25.6,2.5
USA,1996,25.6,1.0
USA,1996,25.6,1.8
KEN,2003,5.1,14.3
KEN,2003,5.1,10.9
KEN,2003,5.1,17.8
IND,2005,2.6,28.6
IND,2005,2.6,30.1
IND,2005,2.6,29.3
IND,1993,0.6,38.2
IND,1993,0.6,39.6
IND,1993,0.6,38.9
KEN,2015,9.2,9.0
KEN,2015,9.2,12.2
KEN,2015,9.2,15.4
LKA,2003,1.7,25.0
LKA,2003,1.7,27.2
LKA,2003,1.7,22.9
GBR,2000,19.1,1.9
GBR,2000,19.1,1.5
GBR,2000,19.1,1.0
IND,2004,3.4,31.0
IND,2004,3.4,30.2
IND,2004,3.4,29.4
GBR,2010,23.6,1.4
GBR,2010,23.6,1.7
GBR,2010,23.6,1.1
IND,1996,1.3,37.4
IND,1996,1.3,35.8
IND,1996,1.3,36.6
LKA,2009,6.5,22.8
LKA,2009,6.5,20.5
LKA,2009,6.5,18.4
KEN,1998,5.3,15.1
KEN,1998,5.3,11.4
KEN,1998,5.3,19.0
USA,2019,40.5,2.1
USA,2019,40.5,1.7
USA,2019,40.5,1.2
USA,2006,33.9,1.0
USA,2006,33.9,1.6
USA,2006,33.9,2.2
IND,1999,1.0,33.5
IND,1999,1.0,35.2
IND,1999,1.0,34.3
USA,2008,34.5,2.2
USA,2008,34.5,1.0
USA,2008,34.5,1.6
IND,2011,2.6,23.0
IND,2011,2.6,24.5
IND,2011,2.6,23.8
LKA,2006,3.8,22.7
LKA,2006,3.8,25.0
LKA,2006,3.8,20.6
LKA,2007,2.4,19.9
LKA,2007,2.4,24.2
LKA,2007,2.4,22.0
IND,2017,5.5,17.3
IND,2017,5.5,18.9
IND,2017,5.5,18.1
GBR,2019,27.0,1.6
GBR,2019,27.0,1.4
GBR,2019,27.0,1.7
GBR,2015,26.2,1.2
GBR,2015,26.2,1.7
GBR,2015,26.2,1.5
USA,2016,37.9,1.6
USA,2016,37.9,2.1
USA,2016,37.9,1.1
GBR,2004,22.5,1.8
GBR,2004,22.5,1.4
GBR,2004,22.5,1.0
LKA,1996,0.9,31.7
LKA,1996,0.9,28.4
LKA,1996,0.9,30.0
GBR,2004,20.9,1.8
GBR,2004,20.9,1.4
GBR,2004,20.9,1.0
GBR,2008,24.3,1.0
GBR,2008,24.3,1.8
GBR,2008,24.3,1.4
LKA,2016,10.1,14.0
LKA,2016,10.1,15.9
LKA,2016,10.1,18.1
LKA,2002,2.8,27.9
LKA,2002,2.8,23.7
LKA,2002,2.8,25.8
IND,2013,3.0,21.8
IND,2013,3.0,22.6
IND,2013,3.0,21.0
LKA,1997,2.8,27.6
LKA,1997,2.8,31.1
LKA,1997,2.8,29.3
USA,1994,23.9,1.1
USA,1994,23.9,2.7
USA,1994,23.9,1.9
GBR,2020,25.6,1.7
GBR,2020,25.6,1.5
GBR,2020,25.6,1.6
USA,1994,19.8,1.1
USA,1994,19.8,2.7
USA,1994,19.8,1.9
KEN,2008,3.3,10.2
KEN,2008,3.3,16.6
KEN,2008,3.3,13.3
IND,2007,2.0,26.8
IND,2007,2.0,27.6
IND,2007,2.0,28.3
USA,2004,30.2,2.3
USA,2004,30.2,1.0
USA,2004,30.2,1.6
LKA,2009,2.7,22.8
LKA,2009,2.7,20.5
LKA,2009,2.7,18.4
IND,2015,3.4,20.7
IND,2015,3.4,19.9
IND,2015,3.4,19.1
IND,2003,2.3,31.1
IND,2003,2.3,30.3
IND,2003,2.3,31.9
GBR,1994,14.6,2.4
GBR,1994,14.6,1.8
GBR,1994,14.6,1.1
GBR,2014,25.2,1.5
GBR,2014,25.2,1.2
GBR,2014,25.2,1.7
USA,2011,35.6,1.0
USA,2011,35.6,1.6
USA,2011,35.6,2.2
IND,2020,6.5,16.3
IND,2020,6.5,15.5
IND,2020,6.5,14.7
USA,1992,18.0,3.0
USA,1992,18.0,2.1
USA,1992,18.0,1.1
LKA,2003,4.3,25.0
LKA,2003,4.3,27.2
LKA,2003,4.3,22.9
LKA,2007,4.1,19.9
LKA,2007,4.1,24.2
LKA,2007,4.1,22.0
KEN,1993,1.4,20.1
KEN,1993,1.4,11.6
KEN,1993,1.4,15.8
LKA,2010,6.9,17.7
LKA,2010,6.9,22.0
LKA,2010,6.9,19.8
USA,2012,36.9,1.0
USA,2012,36.9,2.2
USA,2012,36.9,1.6
GBR,2021,27.4,1.7
GBR,2021,27.4,1.7
GBR,2021,27.4,1.6
KEN,2020,11.4,15.4
KEN,2020,11.4,8.4
KEN,2020,11.4,11.9
IND,1994,1.6,37.4
IND,1994,1.6,38.1
IND,1994,1.6,38.8
LKA,2016,7.4,14.0
LKA,2016,7.4,15.9
LKA,2016,7.4,18.1
LKA,2004,3.3,26.4
LKA,2004,3.3,24.2
LKA,2004,3.3,22.1
USA,1998,23.7,2.4
USA,1998,23.7,1.0
USA,1998,23.7,1.7
LKA,2019,5.4,12.5
LKA,2019,5.4,14.3
LKA,2019,5.4,16.4
USA,2022,42.0,2.1
USA,2022,42.0,1.7
USA,2022,42.0,1.4
GBR,1993,12.4,1.2
GBR,1993,12.4,2.5
GBR,1993,12.4,1.9
KEN,1995,1.6,19.7
KEN,1995,1.6,11.6
KEN,1995,1.6,15.5
IND,1996,0.8,37.4
IND,1996,0.8,35.8
IND,1996,0.8,36.6
KEN,2019,5.2,15.4
KEN,2019,5.2,11.9
KEN,2019,5.2,8.5
LKA,2005,5.0,21.4
LKA,2005,5.0,25.7
LKA,2005,5.0,23.5
KEN,1995,3.1,19.7
KEN,1995,3.1,11.6
KEN,1995,3.1,15.5
USA,2011,37.2,1.0
USA,2011,37.2,1.6
USA,2011,37.2,2.2
USA,2015,38.4,1.6
USA,2015,38.4,1.1
USA,2015,38.4,2.1
LKA,2014,6.5,17.1
LKA,2014,6.5,19.3
LKA,2014,6.5,15.2
